t,x,y,z,R,G,B,N_x,N_y,N_z,d,ath
1,309.2500,157.2500,50.0000,0,100,254,-0.0848,0.4327,-0.8975,523.3402,153.8366
1,244.0000,185.5000,50.0000,0,100,254,0.1497,0.6961,-0.7022,512.3680,134.6052
1,220.2500,211.5000,50.0000,0,100,254,0.2809,0.6533,-0.7031,257.4044,134.6763
6,309.2500,157.2500,50.0000,0,100,254,-0.0848,0.4327,-0.8975,523.3402,153.8366
6,244.0000,185.5000,50.0000,0,100,254,0.1497,0.6961,-0.7022,512.3680,134.6052
6,220.2500,211.5000,50.0000,0,100,254,0.2809,0.6533,-0.7031,257.4044,134.6763
7,309.2500,157.2500,50.0000,0,100,254,-0.0848,0.4327,-0.8975,523.3402,153.8366
7,244.0000,185.5000,50.0000,0,100,254,0.1497,0.6961,-0.7022,512.3680,134.6052
7,220.2500,211.5000,50.0000,0,100,254,0.2809,0.6533,-0.7031,257.4044,134.6763
11,309.2500,157.2500,50.0000,0,100,254,-0.0848,0.4327,-0.8975,523.3402,153.8366
11,244.0000,185.5000,50.0000,0,100,254,0.1497,0.6961,-0.7022,512.3680,134.6052
11,220.2500,211.5000,50.0000,0,100,254,0.2809,0.6533,-0.7031,257.4044,134.6763
12,309.2500,157.2500,50.0000,0,100,254,-0.0848,0.4327,-0.8975,523.3402,153.8366
12,244.0000,185.5000,50.0000,0,100,254,0.1497,0.6961,-0.7022,512.3680,134.6052
12,220.2500,211.5000,50.0000,0,100,254,0.2809,0.6533,-0.7031,257.4044,134.6763
13,309.2500,157.2500,50.0000,0,100,254,-0.0848,0.4327,-0.8975,523.3402,153.8366
13,244.0000,185.5000,50.0000,0,100,254,0.1497,0.6961,-0.7022,512.3680,134.6052
13,220.2500,211.5000,50.0000,0,100,254,0.2809,0.6533,-0.7031,257.4044,134.6763
15,309.2500,157.2500,50.0000,0,100,254,-0.0848,0.4327,-0.8975,523.3402,153.8366
15,244.0000,185.5000,50.0000,0,100,254,0.1497,0.6961,-0.7022,512.3680,134.6052
15,220.2500,211.5000,50.0000,0,100,254,0.2809,0.6533,-0.7031,257.4044,134.6763
18,309.2500,157.2500,50.0000,0,100,254,-0.0848,0.4327,-0.8975,523.3402,153.8366
18,244.0000,185.5000,50.0000,0,100,254,0.1497,0.6961,-0.7022,512.3680,134.6052
18,220.2500,211.5000,50.0000,0,100,254,0.2809,0.6533,-0.7031,257.4044,134.6763
19,309.2500,157.2500,50.0000,0,100,254,-0.0848,0.4327,-0.8975,523.3402,153.8366
19,244.0000,185.5000,50.0000,0,100,254,0.1497,0.6961,-0.7022,512.3680,134.6052
19,220.2500,211.5000,50.0000,0,100,254,0.2809,0.6533,-0.7031,257.4044,134.6763
20,309.2500,157.2500,50.0000,0,100,254,-0.0848,0.4327,-0.8975,523.3402,153.8366
20,244.0000,185.5000,50.0000,0,100,254,0.1497,0.6961,-0.7022,512.3680,134.6052
20,220.2500,211.5000,50.0000,0,100,254,0.2809,0.6533,-0.7031,257.4044,134.6763
23,309.2500,157.2500,50.0000,0,100,254,-0.0848,0.4327,-0.8975,523.3402,153.8366
23,244.0000,185.5000,50.0000,0,100,254,0.1497,0.6961,-0.7022,512.3680,134.6052
23,220.2500,211.5000,50.0000,0,100,254,0.2809,0.6533,-0.7031,257.4044,134.6763
24,309.2500,157.2500,50.0000,0,100,254,-0.0848,0.4327,-0.8975,523.3402,153.8366
24,244.0000,185.5000,50.0000,0,100,254,0.1497,0.6961,-0.7022,512.3680,134.6052
24,220.2500,211.5000,50.0000,0,100,254,0.2809,0.6533,-0.7031,257.4044,134.6763
26,309.2500,157.2500,50.0000,0,100,254,-0.0848,0.4327,-0.8975,523.3402,153.8366
26,244.0000,185.5000,50.0000,0,100,254,0.1497,0.6961,-0.7022,512.3680,134.6052
26,220.2500,211.5000,50.0000,0,100,254,0.2809,0.6533,-0.7031,257.4044,134.6763
28,309.2500,157.2500,50.0000,0,100,254,-0.0848,0.4327,-0.8975,523.3402,153.8366
28,244.0000,185.5000,50.0000,0,100,254,0.1497,0.6961,-0.7022,512.3680,134.6052
28,220.2500,211.5000,50.0000,0,100,254,0.2809,0.6533,-0.7031,257.4044,134.6763
29,309.2500,157.2500,50.0000,0,100,254,-0.0848,0.4327,-0.8975,523.3402,153.8366
29,244.0000,185.5000,50.0000,0,100,254,0.1497,0.6961,-0.7022,512.3680,134.6052
29,220.2500,211.5000,50.0000,0,100,254,0.2809,0.6533,-0.7031,257.4044,134.6763
30,309.2500,157.2500,50.0000,0,100,254,-0.0848,0.4327,-0.8975,523.3402,153.8366
30,244.0000,185.5000,50.0000,0,100,254,0.1497,0.6961,-0.7022,512.3680,134.6052
30,220.2500,211.5000,50.0000,0,100,254,0.2809,0.6533,-0.7031,257.4044,134.6763
31,309.2500,157.2500,50.0000,0,100,254,-0.0848,0.4327,-0.8975,523.3402,153.8366
